date,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,IL-Chicago,MA-Boston,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,National-US
1987,63.23,56.98,49.24,50.25,69.03,69.96,78.49,56.95,72.51,65.53,66.61,80.37,55.19,41.5,66.28
1988,76.39,64.01,57.3,48.44,80.11,73.94,80.17,66.32,74.71,68.7,67.58,84.52,59.05,42.92,71.15
1989,94.79,78.19,68.92,47.66,90.34,77.81,81.72,69.97,74.12,71.34,71.66,82.79,63.31,46.24,75.51
1990,99.36,85.06,73.76,48.57,92.39,79.6,82.36,70.12,69.88,73.57,78.96,78.47,67.48,53.8,76.94
1991,94.07,81.87,70.65,50.03,88.7,78.85,81.67,71.65,64.23,73.37,82.61,74.04,70.16,59.24,75.93
1992,89.68,79.54,69.41,53.93,88.64,78.94,80.98,74.52,64.01,73.9,82.97,75.06,73.0,62.95,76.34
1993,81.08,75.27,67.4,58.79,88.87,81.38,82.57,77.27,65.42,75.31,82.77,76.26,76.01,67.75,77.42
1994,76.74,74.01,67.51,65.49,89.77,85.48,84.34,80.82,68.05,78.57,85.5,77.91,79.9,74.03,79.48
1995,74.85,72.4,67.3,69.75,88.96,87.06,86.45,82.86,69.57,82.84,88.24,78.57,83.08,79.77,81.02
1996,74.08,71.86,67.5,73.4,88.74,87.68,87.91,85.14,72.34,87.94,89.77,79.6,86.62,86.7,82.84
1997,76.62,74.58,72.76,77.59,89.22,88.93,89.01,87.5,76.71,91.14,92.11,81.58,89.27,93.04,85.35
1998,87.01,84.39,81.64,83.68,91.48,92.2,92.29,91.52,83.96,94.19,94.55,86.81,93.04,95.9,90.14
1999,96.12,94.85,92.5,94.17,97.02,96.62,96.79,96.36,94.72,98.56,97.96,94.52,97.6,99.7,96.41
2000,106.0,109.19,115.95,107.38,106.44,103.75,104.43,104.96,108.28,102.21,102.84,106.17,102.16,102.36,104.78
2001,116.49,124.96,130.73,119.62,120.51,116.7,115.67,113.45,125.17,104.32,109.76,118.99,105.93,106.83,113.19
2002,132.47,142.15,136.79,124.13,136.26,132.58,126.08,121.62,139.56,106.39,117.21,134.15,108.88,111.62,122.29
2003,157.73,168.02,147.52,125.94,155.1,152.81,139.29,131.74,153.27,108.89,129.9,153.49,113.8,118.19,133.74
2004,202.71,215.49,171.36,130.13,187.69,182.0,159.75,142.94,167.71,112.46,183.75,174.26,118.09,128.58,150.47
2005,243.27,243.87,206.91,135.51,232.77,235.89,200.65,156.44,179.66,117.64,219.86,199.51,121.88,149.67,171.78
2006,271.33,246.56,216.08,138.34,247.19,276.64,234.5,166.78,176.31,125.71,233.2,214.56,121.65,176.11,183.49
2007,257.1,225.84,206.29,136.0,231.75,260.25,216.62,165.05,169.28,132.9,218.24,208.61,116.98,183.78,179.96
2008,194.7,173.21,156.05,129.36,195.25,191.13,174.93,148.45,159.69,130.38,156.9,193.12,108.42,171.52,164.09
2009,164.85,150.27,127.51,125.7,174.23,149.2,142.11,127.43,151.82,119.65,110.21,174.11,103.23,149.59,148.58
2010,173.58,161.16,139.27,126.72,182.44,146.02,136.37,122.66,154.69,115.55,101.74,171.42,103.87,144.79,144.65
